Card_id,Bname,Email,Street,City,State,Phone,Ssn
ID000001,Mark Morgan,mmorgan0@g.co,5677 Coolidge Street,Plano,TX,4699041438,850473740
ID000002,Eric Warren,ewarren1@ed.gov,9062 Schurz Drive,Dallas,TX,2147018127,256954382
ID000003,Robert Harper,rharper2@angelfire.com,7786 Sachs Place,Plano,TX,2148755911,256515268
ID000004,Donna Franklin,dfranklin3@alexa.com,3 Magdeline Terrace,Plano,TX,2148006127,976952914
ID000005,Linda King,lking4@illinois.edu,41260 Kedzie Terrace,Dallas,TX,4692132549,906633588
ID000006,Judy Holmes,jholmes5@github.io,6583 Manitowish Hill,Dallas,TX,9728985909,206267141
ID000007,Deborah Lawrence,dlawrence6@chicagotribune.com,2 Hermina Trail,Dallas,TX,9729002951,898613567
ID000008,Adam Johnston,ajohnston7@is.gd,05671 Norway Maple Court,Dallas,TX,4697430176,644250492
ID000009,Pamela Carr,pcarr8@stumbleupon.com,1848 Fordem Avenue,Richardson,TX,9722479852,678124697
ID000010,Daniel Fisher,dfisher9@liveinternet.ru,400 Cody Lane,Plano,TX,2148917743,562337951
ID000011,Stephen Fields,sfieldsa@sphinn.com,99 Fair Oaks Drive,Plano,TX,2148013069,441907753
ID000012,Walter Ferguson,wfergusonb@jalbum.net,814 Sutteridge Point,Dallas,TX,4699458172,305533736
ID000013,Paul Cook,pcookc@blogtalkradio.com,58295 Pierstorff Pass,Richardson,TX,4699320168,634616311
ID000014,Roy Smith,rsmithd@csmonitor.com,563 Fairview Park,Dallas,TX,2149114724,661246360
ID000015,Michelle Gardner,mgardnere@wordpress.org,28309 Paget Court,Plano,TX,4699742681,350838412
ID000016,George Powell,gpowellf@scribd.com,31 Clove Crossing,Dallas,TX,9728857291,439755475
ID000017,Nicholas Hudson,nhudsong@uol.com.br,29 Esker Trail,Dallas,TX,4696984000,431615822
ID000018,Linda Henderson,lhendersonh@mayoclinic.com,117 Katie Center,Dallas,TX,4699970832,879827179
ID000019,Gregory Fowler,gfowleri@foxnews.com,42454 Hermina Plaza,Dallas,TX,2149368301,484961826
ID000020,Carol Sanders,csandersj@usda.gov,99600 Moland Way,Dallas,TX,2147621061,562527080
ID000021,Mark Hamilton,mhamiltonk@deliciousdays.com,76425 Dixon Hill,Dallas,TX,9728027903,876615170
ID000022,Anthony Brown,abrownl@rakuten.co.jp,8691 Walton Terrace,Dallas,TX,9729473376,139711123
ID000023,James Rivera,jriveram@comsenz.com,4 Golden Leaf Trail,Dallas,TX,2147618129,239166210
ID000024,Tammy Cole,tcolen@toplist.cz,22 Atwood Parkway,Dallas,TX,4692921882,283067717
ID000025,Donald Bowman,dbowmano@goo.gl,196 Golf View Terrace,Dallas,TX,2149566083,371609878
ID000026,Susan Gomez,sgomezp@economist.com,601 Warbler Point,Richardson,TX,9728771341,438787652
ID000027,Juan Martin,jmartinq@craigslist.org,846 Johnson Circle,Dallas,TX,2148285694,893371519
ID000028,Samuel Bailey,sbaileyr@indiegogo.com,1367 Northport Drive,Dallas,TX,9729722250,434925388
ID000029,Paul White,pwhites@fc2.com,24775 Melvin Place,Dallas,TX,4694594087,444509807
ID000030,Gregory Clark,gclarkt@bloglines.com,259 Porter Avenue,Dallas,TX,9729795771,557410386
ID000031,Steven Wood,swoodu@shareasale.com,852 Darwin Alley,Dallas,TX,2149842801,123991439
ID000032,Jessica Fuller,jfullerv@bloglovin.com,975 Carpenter Parkway,Dallas,TX,9729565055,507262481
ID000033,Donna Greene,dgreenew@fema.gov,86 Delladonna Lane,Dallas,TX,4699696535,258335117
ID000034,Edward Ford,efordx@dropbox.com,34 Fulton Circle,Dallas,TX,2148691555,876944518
ID000035,Steve Torres,storresy@theguardian.com,781 Loeprich Alley,Dallas,TX,4699647789,153208011
ID000036,Alice Rivera,ariveraz@nasa.gov,79 Dayton Center,Dallas,TX,2148413416,881793670
ID000037,Jessica Freeman,jfreeman10@devhub.com,27997 Loftsgordon Lane,Dallas,TX,2148354205,878615560
